"Stichtag";"Stadtbezirk_ID";"Stadtbezirk_Name";"Stadtteil_ID";"Stadtteil_Name";"deutsch";"davon deutsch mit 2. StA";"nichtdeutsch"
"31.12.2025";1;"Mitte";15;"Feldmark";8167;1507;2822
"31.12.2025";1;"Mitte";14;"Bulmke-Hüllen";16265;4966;10296
"31.12.2025";1;"Mitte";13;"Bismarck";11894;2739;4429
"31.12.2025";1;"Mitte";11;"Schalke";13069;4092;9395
"31.12.2025";1;"Mitte";16;"Heßler";4734;683;960
"31.12.2025";1;"Mitte";12;"Schalke-Nord";2484;568;2031
"31.12.2025";1;"Mitte";10;"Altstadt";5741;1800;4846
"31.12.2025";2;"Nord";21;"Scholven";7658;1357;1734
"31.12.2025";2;"Nord";20;"Buer";27722;4857;5059
"31.12.2025";2;"Nord";22;"Hassel";11743;2882;3906
"31.12.2025";3;"West";31;"Beckhausen";11986;2370;2445
"31.12.2025";3;"West";30;"Horst";15141;3655;5788
"31.12.2025";4;"Ost";41;"Resse";10734;1443;1295
"31.12.2025";4;"Ost";40;"Erle";21326;3225;3811
"31.12.2025";4;"Ost";42;"Resser Mark";3088;291;336
"31.12.2025";5;"Süd";52;"Rotthausen";9701;1851;4852
"31.12.2025";5;"Süd";51;"Ückendorf";14607;2989;6298
"31.12.2025";5;"Süd";50;"Neustadt";2649;1042;2075
"30.09.2025";1;"Mitte";10;"Altstadt";5677;1725;4853
"30.09.2025";1;"Mitte";15;"Feldmark";8180;1480;2877
"30.09.2025";1;"Mitte";14;"Bulmke-Hüllen";16311;4903;10258
"30.09.2025";1;"Mitte";13;"Bismarck";11944;2746;4439
"30.09.2025";1;"Mitte";11;"Schalke";13174;4086;9390
"30.09.2025";1;"Mitte";16;"Heßler";4739;688;965
"30.09.2025";1;"Mitte";12;"Schalke-Nord";2527;565;2012
"30.09.2025";2;"Nord";22;"Hassel";11667;2817;3964
"30.09.2025";2;"Nord";21;"Scholven";7623;1358;1718
"30.09.2025";2;"Nord";20;"Buer";27753;4808;5077
"30.09.2025";3;"West";30;"Horst";15189;3616;5715
"30.09.2025";3;"West";31;"Beckhausen";12003;2345;2401
"30.09.2025";4;"Ost";41;"Resse";10736;1441;1297
"30.09.2025";4;"Ost";40;"Erle";21318;3175;3753
"30.09.2025";4;"Ost";42;"Resser Mark";3084;273;329
"30.09.2025";5;"Süd";51;"Ückendorf";14592;2941;6305
"30.09.2025";5;"Süd";50;"Neustadt";2662;1034;2106
"30.09.2025";5;"Süd";52;"Rotthausen";9727;1824;4813
"30.06.2025";1;"Mitte";10;"Altstadt";5759;1714;4908
"30.06.2025";1;"Mitte";12;"Schalke-Nord";2562;565;2063
"30.06.2025";1;"Mitte";15;"Feldmark";8217;1461;2893
"30.06.2025";1;"Mitte";14;"Bulmke-Hüllen";16416;4862;10342
"30.06.2025";1;"Mitte";13;"Bismarck";11988;2724;4461
"30.06.2025";1;"Mitte";11;"Schalke";13212;4037;9541
"30.06.2025";1;"Mitte";16;"Heßler";4763;685;971
"30.06.2025";2;"Nord";22;"Hassel";11720;2801;3999
"30.06.2025";2;"Nord";21;"Scholven";7627;1340;1757
"30.06.2025";2;"Nord";20;"Buer";27762;4753;5112
"30.06.2025";3;"West";31;"Beckhausen";11988;2297;2408
"30.06.2025";3;"West";30;"Horst";15255;3580;5643
"30.06.2025";4;"Ost";40;"Erle";21467;3155;3820
"30.06.2025";4;"Ost";42;"Resser Mark";3082;269;314
"30.06.2025";4;"Ost";41;"Resse";10747;1411;1289
"30.06.2025";5;"Süd";52;"Rotthausen";9735;1777;4846
"30.06.2025";5;"Süd";51;"Ückendorf";14640;2883;6377
"30.06.2025";5;"Süd";50;"Neustadt";2668;1023;2163
"31.03.2025";1;"Mitte";13;"Bismarck";11997;2699;4471
